Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
NYC HOUSING AUTHORITY,Internal,1,Project Manager,ADMINISTRATIVE INSPECTOR (HOUS,Competitive-1,"Engineering, Architecture, & Planning",F,Manager,105000,115000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Public Health Inspector, Bureau of Childcare",PUBLIC HEALTH SANITARIAN,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,45722,Annual
DEPARTMENT OF CORRECTION,Internal,1,Senior WebSphere Administrator,IT AUTOMATION AND MONITORING E,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),100000,140000,Annual
NYC HOUSING AUTHORITY,Internal,1,SENIOR STRATEGIC MANAGER,CHIEF OF HOUSING COMMUNITY ACT,Competitive-1,Constituent Services & Community Programs,F,Manager,64922,173486,Annual
LAW DEPARTMENT,Internal,3,Paralegal Aide,PARALEGAL AIDE,Competitive-1,Clerical & Administrative Support Legal,F,Experienced (non-manager),38089,53300,Annual
FIRE DEPARTMENT,Internal,1,Accounts Payable Manager,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,"Finance, Accounting, & Procurement",,Experienced (non-manager),66322,98830,Annual
FIRE DEPARTMENT,Internal,1,Accounts Payable Manager,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,"Finance, Accounting, & Procurement",,Experienced (non-manager),66322,98830,Annual
OFFICE OF THE COMPTROLLER,Internal,1,"Claim Specialist, Level II - Law Division",CLAIM SPECIALIST,Competitive-1,Legal Affairs,F,Experienced (non-manager),51079,58741,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,6,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,65640,Annual
HOUSING PRESERVATION & DVLPMNT,External,2,Neighborhood Planner for the Division of Neighborhood Development and Stabilization,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),60000,70000,Annual
BRONX DISTRICT ATTORNEY,Internal,1,"Deputy Unit Chief, Community Affairs",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement Social Services",F,Manager,122290,122290,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Evidence & Property Control Specialist, I",EVIDENCE AND PROPERTY CONTROL,Competitive-1,Health,F,Experienced (non-manager),51345,58020,Annual
TAX COMMISSION,Internal,6,College Aide Student,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Policy, Research & Analysis",P,Entry-Level,15.5,19.9,Hourly
NYC HOUSING AUTHORITY,Internal,3,Environmental Compliance Analyst,ASSISTANT ENVIRONMENTAL ENGINE,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual
DEPARTMENT OF CORRECTION,Internal,5,PREA COMPLIANCE MANAGER,CORRECTIONAL STANDARDS REVIEW,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),61302,70497,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,"Performance and Learning Director, Horizon",ADMINISTRATIVE DIRECTOR OF RES,Competitive-1,Social Services,F,Experienced (non-manager),58700,84000,Annual
DISTRICT ATTORNEY RICHMOND COU,External,1,Assistant District Attorney - Domestic Violence Bureau,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,Legal Affairs,F,Manager,77000,93000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,6,Criminalist III,CRIMINALIST,Non-Competitive-5,Health,F,Experienced (non-manager),76516,76516,Annual
ADMIN TRIALS AND HEARINGS,Internal,1,Managing Attorney,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,100000,112560,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,CONTINUUM OF CARE (COC) PROJECT MANAGER,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",F,Experienced (non-manager),75504,86830,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Director of Talent Acquisition & Classification,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Administration & Human Resources,F,Manager,100000,110000,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Case Manager,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,62215,Annual
DEPARTMENT OF BUILDINGS,Internal,1,Executive Assistant to the Borough Commissioner,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),47418,54531,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,"Deputy Director, Strategic Planning",ADMINISTRATIVE SPACE ANALYST,Competitive-1,"Policy, Research & Analysis",F,Manager,90000,120000,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,PAM DATA ENTRY CLERK,CLERICAL ASSOCIATE,Competitive-1,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Social Services",F,Experienced (non-manager),36390,41848,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,PAYMENT SPECIALIST,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),53057,77124,Annual
DEPARTMENT OF BUSINESS SERV.,External,1,WEB PRODUCER - FMA,COMPUTER ASSOC (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),76584,112111,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,Chief of Microbiology Services/ Bureau of the Public Health Laboratory,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Health Policy, Research & Analysis",F,Experienced (non-manager),96772,111288,Annual
NYC HOUSING AUTHORITY,External,1,Carpenter,CARPENTER,Competitive-1,Building Operations & Maintenance,,Experienced (non-manager),53.58,53.58,Hourly
NYC HOUSING AUTHORITY,Internal,9,Capital Program Property Liaison,COMMUNITY COORDINATOR,Non-Competitive-5,"Administration & Human Resources Engineering, Architecture, & Planning",F,Experienced (non-manager),54100,83981,Annual
LAW DEPARTMENT,Internal,1,Division Chief - E-Discovery Division,ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Manager,185019,185019,Annual
BRONX DISTRICT ATTORNEY,External,1,"Homicide Therapist - 	Crime Victims Assistance Unit",COMMUNITY COORDINATOR,Non-Competitive-5,"Constituent Services & Community Programs Legal Affairs Public Safety, Inspections, & Enforcement Social Services",F,Experienced (non-manager),70000,70000,Annual
DEPT. OF HOMELESS SERVICES,External,1,Street Homeless Solutions Data Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,"Policy, Research & Analysis Social Services",F,Experienced (non-manager),58695,89699,Annual
OFFICE OF THE COMPTROLLER,Internal,1,ESG Integration Officer,INVESTMENT MANAGER (COMPTROLLE,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,110000,133900,Annual
BRONX DISTRICT ATTORNEY,External,5,Assistant District Attorney -  Special Investigations Bureau,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),80440,167610,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Collections Specialist,ELECTRICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),80557,111917,Annual
NYC HOUSING AUTHORITY,External,1,Data Analyst,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Policy, Research & Analysis",,Experienced (non-manager),85000,110000,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Energy Manager,CONSTRUCTION PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning Health Building Operations & Maintenance",F,Experienced (non-manager),85000,98128,Annual
POLICE DEPARTMENT,Internal,3,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,6,Compliance Specialist,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),58695,67499,Annual
NYC HOUSING AUTHORITY,Internal,1,Secretary,SECRETARY,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),40017,62820,Annual
NYC HOUSING AUTHORITY,External,1,Assistant Director,ADMINISTRATIVE INSPECTOR (HOUS,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Manager,64922,173486,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Special Assistant to Detention,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,62215,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Senior IT Architect,SENIOR IT ARCHITECT,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),0,140000,Annual
DEPARTMENT OF CORRECTION,Internal,4,Licensed Barber,LICENSED BARBER (CORRECTION),Non-Competitive-5,Health,F,Entry-Level,35197,47467,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,2,NYC M/WBE Program Compliance Specialist,PROCUREMENT ANALYST,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),50972,82730,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Executive Director,ADMINISTRATIVE DIRECTOR OF SOC,Competitive-1,"Policy, Research & Analysis Social Services",F,Manager,72038,125000,Annual
NYC HOUSING AUTHORITY,External,1,ELECTRICIANS HELPER,ELECTRICIANS HELPER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),39.9,39.9,Hourly
ADMIN FOR CHILDREN'S SVCS,Internal,1,Senior Communications Specialist,CONFIDENTIAL STRATEGY PLANNER,Non-Competitive-5,Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),74710,100000,Annual
DEPARTMENT OF CORRECTION,External,1,Director of Public Affairs,ADMINISTRATIVE PUBLIC INFORMAT,Competitive-1,"Administration & Human Resources Communications & Intergovernmental Affairs Policy, Research & Analysis",F,Experienced (non-manager),64922,173486,Annual
CONSUMER AND WORKER PROTECTION,External,1,Customer Service Representative,CLERICAL ASSOCIATE,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),32850,40017,Annual
DEPARTMENT OF TRANSPORTATION,Internal,2,Senior Timekeeper,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),60718,90773,Annual
DEPT OF YOUTH & COMM DEV SRVS,External,1,Legal Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Legal Affairs,F,Experienced (non-manager),53057,77124,Annual
LAW DEPARTMENT,External,1,Application Associate  (Part Time),COMPUTER ASSOC (SOFTWARE),Competitive-1,"Technology, Data & Innovation",P,Experienced (non-manager),39.2485,45.1357,Hourly
HRA/DEPT OF SOCIAL SERVICES,External,1,SENIOR CONTRACT MONITORING ANALYST,ASSOCIATE STAFF ANALYST,Competitive-1,"Policy, Research & Analysis Social Services",F,Experienced (non-manager),70611,86887,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Digital Communications Specialist,COMMUNITY COORDINATOR,Non-Competitive-5,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Technology, Data & Innovation Policy, Research & Analysis",F,Experienced (non-manager),54100,83981,Annual
POLICE DEPARTMENT,Internal,1,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Structural Engineer,CIVIL ENGINEER,Competitive-1,"Administration & Human Resources Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),80557,111917,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Research Data Analyst, Bureau of Veterinary and Pest Control Services",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Health Policy, Research & Analysis",F,Experienced (non-manager),75504,93776,Annual
FIRE DEPARTMENT,External,10,Plan Examiner,ASSISTANT ELECTRICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual
NYC HOUSING AUTHORITY,External,1,Performance Management Analyst,ECONOMIST,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),56013,84862,Annual
DEPARTMENT OF BUILDINGS,Internal,13,OATH/ECB Hearing Attorney,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),63228,72712,Annual
DEPT OF DESIGN & CONSTRUCTION,Internal,1,Design Engineer,ASSISTANT CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Entry-Level,57078,65640,Annual
NYC HOUSING AUTHORITY,External,1,SENIOR COMMUNITY DEVELOPMENT COORDINATOR,ADMIN COMMUNITY RELATIONS SPEC,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),64749,134280,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,4,"Senior Early Childhood Education Consultant, Bureau of Childcare",CONSULTANT (EARLY CHILDHOOD ED,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),71379,82086,Annual
DEPARTMENT OF CORRECTION,Internal,5,Cook,COOK,Non-Competitive-5,Social Services,F,Entry-Level,36627,41388,Annual
HOUSING PRESERVATION & DVLPMNT,Internal,1,Housing Choice Voucher (HCV) Program Hearing Officer for the Division of Appeals,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),71423,82137,Annual
POLICE DEPARTMENT,External,100,Police Administrative Aide,POLICE ADMINISTRATIVE AIDE,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),36390,55228,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Civil Engineering Intern,CIVIL ENGINEERING INTERN,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),51413,62260,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,ELECTRICAL DESIGN ENGINEER,ELECTRICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),67757,98128,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,"Project Manager, Clean Energy",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84468,97138,Annual
DEPT OF PARKS & RECREATION,External,1,EZ Pass Coordinator,COMMUNITY COORDINATOR,Non-Competitive-5,Building Operations & Maintenance,F,Experienced (non-manager),54100,83981,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Agency Implementation and Support Program Evaluator,PROGRAM EVALUATOR (ACS),Competitive-1,Social Services,F,Experienced (non-manager),61850,76745,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Senior Research Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis Social Services",F,Experienced (non-manager),84468,97138,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,FIA REGIONAL/ADMINISTRATIVE OFFICE LIAISON,ASSOCIATE JOB OPPORTUNITY SPEC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),67000,77050,Annual
OFFICE OF EMERGENCY MANAGEMENT,Internal,1,MITIGATION SPECIALIST,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification-2,"Policy, Research & Analysis",F,Experienced (non-manager),57500,69500,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Collections Specialist,ASSOCIATE PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74650,109409,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Citywide Doula Initiative (CDI), HSB Health Education Coordinator, Bureau of Brooklyn Neighborhood Health",COMMUNITY COORDINATOR,Non-Competitive-5,Health,F,Experienced (non-manager),54100,62215,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,SENIOR PROJECT LEADER,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),85371,98177,Annual
HUMAN RIGHTS COMMISSION,Internal,1,IT Security Specialist,CYBER SECURITY ANALYST,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),54281,75000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Project Manager - Weigh in Motion Network,TRANSPORTATION SPECIALIST,Competitive-1,"Administration & Human Resources Engineering, Architecture, & Planning Policy, Research & Analysis",F,Experienced (non-manager),74650,109409,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Policy Writer,COMMUNITY COORDINATOR,Non-Competitive-5,"Policy, Research & Analysis Social Services",F,Experienced (non-manager),54100,62215,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",LABORATORY MICROBIOLOGIST,Competitive-1,Health,F,Experienced (non-manager),56971,78074,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,PAYMENT COORDINATOR,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Social Services,F,Experienced (non-manager),58695,67499,Annual
NYC HOUSING AUTHORITY,Internal,1,SUPERVISOR OF HOUSING CARETAKER (HA),SUPERVISOR OF HOUSING CARETAKE,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),39062,65449,Annual
LAW DEPARTMENT,External,3,CLAIM SPECIALIST,CLAIM SPECIALIST,Competitive-1,Legal Affairs,F,Experienced (non-manager),41483,47705,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,"ASSISTANT DEPUTY COMMISSIONER, INFRASTRUCTURE RUN & BUILD",COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Manager,80931,208826,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Facility Manager, Bureau of Operations",ADMINISTRATIVE SUPERVISOR OF B,Competitive-1,Health Building Operations & Maintenance,F,Manager,58700,63301,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Associate Director  EDUCATION,BUDGET ANALYST (OMB)-MANAGERIA,Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Executive,185886,185886,Annual
MAYORS OFFICE OF CONTRACT SVCS,External,3,"Senior Analyst, Procurement Operations (Capital Reform)",RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,60000,70000,Annual
BOARD OF CORRECTION,Internal,1,Research & Compliance Associate,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),75504,85000,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,8,Civil Engineering Intern,CIVIL ENGINEERING INTERN,Competitive-1,"Engineering, Architecture, & Planning",F,Entry-Level,51413,59125,Annual
DEPT OF ENVIRONMENT PROTECTION,External,5,Assistant Process Engineer,ASSISTANT ELECTRICAL ENGINEER,Competitive-1,"Constituent Services & Community Programs Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual
